DeepCSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
0,TnP,central,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.971680180566"
0,TnP,down,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.956837774128"
0,TnP,up,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.986522587004"
0,TnP,down_jer,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.971307333674"
0,TnP,up_jer,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.972053027458"
0,TnP,down_jes,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.970926592011"
0,TnP,up_jes,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.972433769121"
0,TnP,down_bdecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.971669227692"
0,TnP,up_bdecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.971691133441"
0,TnP,down_bkg,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.969839560102"
0,TnP,up_bkg,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.97352080103"
0,TnP,down_isr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.970009191836"
0,TnP,up_isr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.973351169296"
0,TnP,down_fsr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.968727914687"
0,TnP,up_fsr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.974632446445"
0,TnP,down_mescales,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.967763436509"
0,TnP,up_mescales,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.975596924623"
0,TnP,down_hdamp,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.971398074438"
0,TnP,up_hdamp,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.971962286695"
0,TnP,down_bfragmentation,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.971628696552"
0,TnP,up_bfragmentation,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.97173166458"
0,TnP,down_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.966495398351"
0,TnP,up_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.976864962781"
0,TnP,down_pileup,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.970728839731"
0,TnP,up_pileup,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.972631521401"
0,TnP,down_topmass,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.971204883996"
0,TnP,up_topmass,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.972155477136"
0,TnP,down_tune,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.971525073765"
0,TnP,up_tune,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.971835287367"
0,TnP,central,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.955228196736"
0,TnP,down,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.94354880272"
0,TnP,up,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.966907590753"
0,TnP,down_jer,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.954880570611"
0,TnP,up_jer,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.955575822861"
0,TnP,down_jes,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.954681002243"
0,TnP,up_jes,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.955775391229"
0,TnP,down_bdecay,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.955209548577"
0,TnP,up_bdecay,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.955246844896"
0,TnP,down_bkg,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.951547117631"
0,TnP,up_bkg,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.958909275841"
0,TnP,down_isr,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.954330452169"
0,TnP,up_isr,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.956125941303"
0,TnP,down_fsr,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.954190595901"
0,TnP,up_fsr,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.956265797571"
0,TnP,down_mescales,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.953343473191"
0,TnP,up_mescales,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.957112920282"
0,TnP,down_hdamp,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.955138741135"
0,TnP,up_hdamp,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.955317652338"
0,TnP,down_bfragmentation,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.955097266305"
0,TnP,up_bfragmentation,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.955359127168"
0,TnP,down_statistic,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.950474575439"
0,TnP,up_statistic,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.959981818034"
0,TnP,down_pileup,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.955086093843"
0,TnP,up_pileup,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.955370299629"
0,TnP,down_topmass,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.95439793588"
0,TnP,up_topmass,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.956058457592"
0,TnP,down_tune,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.955061192353"
0,TnP,up_tune,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.95539520112"
0,TnP,central,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.953802508212"
0,TnP,down,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.944960972089"
0,TnP,up,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.962644044335"
0,TnP,down_jer,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.953450892967"
0,TnP,up_jer,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.954154123457"
0,TnP,down_jes,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.953341037414"
0,TnP,up_jes,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.954263979009"
0,TnP,down_bkg,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.950562827727"
0,TnP,up_bkg,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.957042188697"
0,TnP,down_isr,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.952775346383"
0,TnP,up_isr,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.95482967004"
0,TnP,down_fsr,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.953567849973"
0,TnP,up_fsr,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.95403716645"
0,TnP,down_mescales,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.952758842227"
0,TnP,up_mescales,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.954846174197"
0,TnP,down_hdamp,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.953483248565"
0,TnP,up_hdamp,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.954121767859"
0,TnP,down_bfragmentation,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.953635105758"
0,TnP,up_bfragmentation,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.953969910665"
0,TnP,down_statistic,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.949933410094"
0,TnP,up_statistic,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.95767160633"
0,TnP,down_pileup,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.953774405478"
0,TnP,up_pileup,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.953830610945"
0,TnP,down_topmass,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.952959770579"
0,TnP,up_topmass,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.954645245844"
0,TnP,down_tune,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.953588338234"
0,TnP,up_tune,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.95401667819"
0,TnP,central,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.0078501293"
0,TnP,down,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.999916261082"
0,TnP,up,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.01578399752"
0,TnP,down_jer,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.00735149823"
0,TnP,up_jer,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.00834876037"
0,TnP,down_jes,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.00769933551"
0,TnP,up_jes,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.00800092309"
0,TnP,down_bdecay,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.00783317434"
0,TnP,up_bdecay,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.00786708426"
0,TnP,down_bkg,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.00553608518"
0,TnP,up_bkg,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.01016417342"
0,TnP,down_isr,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.00749454645"
0,TnP,up_isr,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.00820571215"
0,TnP,down_fsr,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.00696962722"
0,TnP,up_fsr,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.00873063138"
0,TnP,down_mescales,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.00654725927"
0,TnP,up_mescales,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.00915299933"
0,TnP,down_hdamp,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.0076251325"
0,TnP,up_hdamp,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.0080751261"
0,TnP,down_bfragmentation,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.00776991361"
0,TnP,up_bfragmentation,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.00793034499"
0,TnP,down_statistic,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.00485051265"
0,TnP,up_statistic,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.01084974595"
0,TnP,down_pileup,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.00761447641"
0,TnP,up_pileup,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.00808578219"
0,TnP,down_topmass,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.00720317112"
0,TnP,up_topmass,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.00849708747"
0,TnP,down_tune,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.00774618436"
0,TnP,up_tune,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.00795407424"
0,TnP,central,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.00730403004"
0,TnP,down,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.998893151057"
0,TnP,up,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.01571490902"
0,TnP,down_jer,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.00611505271"
0,TnP,up_jer,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.00849300736"
0,TnP,down_jes,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.00696412007"
0,TnP,up_jes,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.00764394"
0,TnP,down_bdecay,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.00729544638"
0,TnP,up_bdecay,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.00731261369"
0,TnP,down_bkg,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.00660513931"
0,TnP,up_bkg,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.00800292076"
0,TnP,down_isr,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.00656623535"
0,TnP,up_isr,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.00804182472"
0,TnP,down_fsr,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.00495492002"
0,TnP,up_fsr,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.00965314006"
0,TnP,down_mescales,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.00492434847"
0,TnP,up_mescales,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.0096837116"
0,TnP,down_hdamp,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.00718853206"
0,TnP,up_hdamp,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.00741952802"
0,TnP,down_bfragmentation,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.00727731722"
0,TnP,up_bfragmentation,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.00733074286"
0,TnP,down_statistic,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.00466695936"
0,TnP,up_statistic,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.00994110072"
0,TnP,down_pileup,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.00683173451"
0,TnP,up_pileup,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.00777632556"
0,TnP,down_topmass,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.00671088346"
0,TnP,up_topmass,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.00789717662"
0,TnP,down_tune,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.00714106465"
0,TnP,up_tune,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.00746699543"
0,TnP,central,0,-2.4,2.4,200.0,300.0,0.0,1.0,"1.0356732516"
0,TnP,down,0,-2.4,2.4,200.0,300.0,0.0,1.0,"1.02264297743"
0,TnP,up,0,-2.4,2.4,200.0,300.0,0.0,1.0,"1.04870352577"
0,TnP,down_jer,0,-2.4,2.4,200.0,300.0,0.0,1.0,"1.03436504723"
0,TnP,up_jer,0,-2.4,2.4,200.0,300.0,0.0,1.0,"1.03698145596"
0,TnP,down_jes,0,-2.4,2.4,200.0,300.0,0.0,1.0,"1.03551903011"
0,TnP,up_jes,0,-2.4,2.4,200.0,300.0,0.0,1.0,"1.03582747309"
0,TnP,down_bdecay,0,-2.4,2.4,200.0,300.0,0.0,1.0,"1.03566017919"
0,TnP,up_bdecay,0,-2.4,2.4,200.0,300.0,0.0,1.0,"1.035686324"
0,TnP,down_bkg,0,-2.4,2.4,200.0,300.0,0.0,1.0,"1.03438737296"
0,TnP,up_bkg,0,-2.4,2.4,200.0,300.0,0.0,1.0,"1.03695913024"
0,TnP,down_isr,0,-2.4,2.4,200.0,300.0,0.0,1.0,"1.03356878619"
0,TnP,up_isr,0,-2.4,2.4,200.0,300.0,0.0,1.0,"1.03777771701"
0,TnP,down_fsr,0,-2.4,2.4,200.0,300.0,0.0,1.0,"1.03373722945"
0,TnP,up_fsr,0,-2.4,2.4,200.0,300.0,0.0,1.0,"1.03760927374"
0,TnP,down_mescales,0,-2.4,2.4,200.0,300.0,0.0,1.0,"1.03367368935"
0,TnP,up_mescales,0,-2.4,2.4,200.0,300.0,0.0,1.0,"1.03767281384"
0,TnP,down_hdamp,0,-2.4,2.4,200.0,300.0,0.0,1.0,"1.03560386475"
0,TnP,up_hdamp,0,-2.4,2.4,200.0,300.0,0.0,1.0,"1.03574263845"
0,TnP,down_bfragmentation,0,-2.4,2.4,200.0,300.0,0.0,1.0,"1.03562335867"
0,TnP,up_bfragmentation,0,-2.4,2.4,200.0,300.0,0.0,1.0,"1.03572314453"
0,TnP,down_statistic,0,-2.4,2.4,200.0,300.0,0.0,1.0,"1.03287212009"
0,TnP,up_statistic,0,-2.4,2.4,200.0,300.0,0.0,1.0,"1.03847438311"
0,TnP,down_pileup,0,-2.4,2.4,200.0,300.0,0.0,1.0,"1.03528409846"
0,TnP,up_pileup,0,-2.4,2.4,200.0,300.0,0.0,1.0,"1.03606240474"
0,TnP,down_topmass,0,-2.4,2.4,200.0,300.0,0.0,1.0,"1.03501886005"
0,TnP,up_topmass,0,-2.4,2.4,200.0,300.0,0.0,1.0,"1.03632764315"
0,TnP,down_tune,0,-2.4,2.4,200.0,300.0,0.0,1.0,"1.03541060156"
0,TnP,up_tune,0,-2.4,2.4,200.0,300.0,0.0,1.0,"1.03593590163"
0,TnP,central,0,-2.4,2.4,300.0,600.0,0.0,1.0,"1.05780412673"
0,TnP,down,0,-2.4,2.4,300.0,600.0,0.0,1.0,"1.00297752722"
0,TnP,up,0,-2.4,2.4,300.0,600.0,0.0,1.0,"1.11263072624"
0,TnP,down_jer,0,-2.4,2.4,300.0,600.0,0.0,1.0,"1.05394799706"
0,TnP,up_jer,0,-2.4,2.4,300.0,600.0,0.0,1.0,"1.0616602564"
0,TnP,down_jes,0,-2.4,2.4,300.0,600.0,0.0,1.0,"1.05451364285"
0,TnP,up_jes,0,-2.4,2.4,300.0,600.0,0.0,1.0,"1.0610946106"
0,TnP,down_bdecay,0,-2.4,2.4,300.0,600.0,0.0,1.0,"1.05777932073"
0,TnP,up_bdecay,0,-2.4,2.4,300.0,600.0,0.0,1.0,"1.05782893273"
0,TnP,down_bkg,0,-2.4,2.4,300.0,600.0,0.0,1.0,"1.01567254142"
0,TnP,up_bkg,0,-2.4,2.4,300.0,600.0,0.0,1.0,"1.09993571203"
0,TnP,down_isr,0,-2.4,2.4,300.0,600.0,0.0,1.0,"1.05504610535"
0,TnP,up_isr,0,-2.4,2.4,300.0,600.0,0.0,1.0,"1.06056214811"
0,TnP,down_fsr,0,-2.4,2.4,300.0,600.0,0.0,1.0,"1.04981921333"
0,TnP,up_fsr,0,-2.4,2.4,300.0,600.0,0.0,1.0,"1.06578904013"
0,TnP,down_mescales,0,-2.4,2.4,300.0,600.0,0.0,1.0,"1.04952813978"
0,TnP,up_mescales,0,-2.4,2.4,300.0,600.0,0.0,1.0,"1.06608011368"
0,TnP,down_hdamp,0,-2.4,2.4,300.0,600.0,0.0,1.0,"1.05633213938"
0,TnP,up_hdamp,0,-2.4,2.4,300.0,600.0,0.0,1.0,"1.05927611407"
0,TnP,down_bfragmentation,0,-2.4,2.4,300.0,600.0,0.0,1.0,"1.05764632061"
0,TnP,up_bfragmentation,0,-2.4,2.4,300.0,600.0,0.0,1.0,"1.05796193284"
0,TnP,down_statistic,0,-2.4,2.4,300.0,600.0,0.0,1.0,"1.01526754165"
0,TnP,up_statistic,0,-2.4,2.4,300.0,600.0,0.0,1.0,"1.10034071181"
0,TnP,down_pileup,0,-2.4,2.4,300.0,600.0,0.0,1.0,"1.0530406444"
0,TnP,up_pileup,0,-2.4,2.4,300.0,600.0,0.0,1.0,"1.06256760906"
0,TnP,down_topmass,0,-2.4,2.4,300.0,600.0,0.0,1.0,"1.05406073993"
0,TnP,up_topmass,0,-2.4,2.4,300.0,600.0,0.0,1.0,"1.06154751353"
