OperatingPoint	 measurementType	 sysType	 jetFlavor	 etaMin	 etaMax	 ptMin	 ptMax	 discrMin	 discrMax	 formula
2	 softmu	 central	0	0	2.4	20	30	0	1	0.937981
2	 softmu	 up	        0	0	2.4	20	30	0	1	0.979333
2	 softmu	 down	        0	0	2.4	20	30	0	1	0.896628
2	 softmu	 up_away	0	0	2.4	20	30	0	1	0.940341
2	 softmu	 down_away	0	0	2.4	20	30	0	1	0.935621
2	 softmu	 up_mupt	0	0	2.4	20	30	0	1	0.930944
2	 softmu	 down_mupt	0	0	2.4	20	30	0	1	0.945018
2	 softmu	 up_ptrel	0	0	2.4	20	30	0	1	1.04517
2	 softmu	 down_ptrel	0	0	2.4	20	30	0	1	0.830792
2	 softmu	 up_gluon	0	0	2.4	20	30	0	1	0.937981
2	 softmu	 down_gluon	0	0	2.4	20	30	0	1	0.937981
2	 softmu	 up_pu	0	0	2.4	20	30	0	1	0.94131
2	 softmu	 down_pu	0	0	2.4	20	30	0	1	0.934652
2	 softmu	 up_bef	0	0	2.4	20	30	0	1	0.91395
2	 softmu	 down_bef	0	0	2.4	20	30	0	1	0.962012
2	 softmu	 up_mudr	0	0	2.4	20	30	0	1	0.941197
2	 softmu	 down_mudr	0	0	2.4	20	30	0	1	0.934765
2	 softmu	 central	0	0	2.4	40	50	0	1	0.88185
2	 softmu	 up	0	0	2.4	40	50	0	1	0.902455
2	 softmu	 down	0	0	2.4	40	50	0	1	0.861245
2	 softmu	 up_away	0	0	2.4	40	50	0	1	0.890031
2	 softmu	 down_away	0	0	2.4	40	50	0	1	0.873669
2	 softmu	 up_mupt	0	0	2.4	40	50	0	1	0.867352
2	 softmu	 down_mupt	0	0	2.4	40	50	0	1	0.896348
2	 softmu	 up_ptrel	0	0	2.4	40	50	0	1	0.882502
2	 softmu	 down_ptrel	0	0	2.4	40	50	0	1	0.881198
2	 softmu	 up_gluon	0	0	2.4	40	50	0	1	0.881885
2	 softmu	 down_gluon	0	0	2.4	40	50	0	1	0.881815
2	 softmu	 up_pu	0	0	2.4	40	50	0	1	0.880801
2	 softmu	 down_pu	0	0	2.4	40	50	0	1	0.882899
2	 softmu	 up_bef	0	0	2.4	40	50	0	1	0.862849
2	 softmu	 down_bef	0	0	2.4	40	50	0	1	0.900851
2	 softmu	 up_mudr	0	0	2.4	40	50	0	1	0.885905
2	 softmu	 down_mudr	0	0	2.4	40	50	0	1	0.877795
2	 softmu	 central	0	0	2.4	60	70	0	1	0.877152
2	 softmu	 up	0	0	2.4	60	70	0	1	0.902798
2	 softmu	 down	0	0	2.4	60	70	0	1	0.851506
2	 softmu	 up_away	0	0	2.4	60	70	0	1	0.880444
2	 softmu	 down_away	0	0	2.4	60	70	0	1	0.87386
2	 softmu	 up_mupt	0	0	2.4	60	70	0	1	0.884675
2	 softmu	 down_mupt	0	0	2.4	60	70	0	1	0.869629
2	 softmu	 up_ptrel	0	0	2.4	60	70	0	1	0.860629
2	 softmu	 down_ptrel	0	0	2.4	60	70	0	1	0.893675
2	 softmu	 up_gluon	0	0	2.4	60	70	0	1	0.877352
2	 softmu	 down_gluon	0	0	2.4	60	70	0	1	0.876952
2	 softmu	 up_pu	0	0	2.4	60	70	0	1	0.876633
2	 softmu	 down_pu	0	0	2.4	60	70	0	1	0.877671
2	 softmu	 up_bef	0	0	2.4	60	70	0	1	0.863956
2	 softmu	 down_bef	0	0	2.4	60	70	0	1	0.890348
2	 softmu	 up_mudr	0	0	2.4	60	70	0	1	0.878232
2	 softmu	 down_mudr	0	0	2.4	60	70	0	1	0.876072
2	 softmu	 central	0	0	2.4	80	100	0	1	0.989772
2	 softmu	 up	0	0	2.4	80	100	0	1	1.04433
2	 softmu	 down	0	0	2.4	80	100	0	1	0.935213
2	 softmu	 up_away	0	0	2.4	80	100	0	1	1.14568
2	 softmu	 down_away	0	0	2.4	80	100	0	1	0.83386
2	 softmu	 up_mupt	0	0	2.4	80	100	0	1	0.912736
2	 softmu	 down_mupt	0	0	2.4	80	100	0	1	1.06681
2	 softmu	 up_ptrel	0	0	2.4	80	100	0	1	1.12742
2	 softmu	 down_ptrel	0	0	2.4	80	100	0	1	0.852124
2	 softmu	 up_gluon	0	0	2.4	80	100	0	1	0.989613
2	 softmu	 down_gluon	0	0	2.4	80	100	0	1	0.989931
2	 softmu	 up_pu	0	0	2.4	80	100	0	1	0.990556
2	 softmu	 down_pu	0	0	2.4	80	100	0	1	0.988988
2	 softmu	 up_bef	0	0	2.4	80	100	0	1	0.993711
2	 softmu	 down_bef	0	0	2.4	80	100	0	1	0.985833
2	 softmu	 up_mudr	0	0	2.4	80	100	0	1	1.00006
2	 softmu	 down_mudr	0	0	2.4	80	100	0	1	0.979488
2	 softmu	 central	0	0	2.4	120	160	0	1	0.967583
2	 softmu	 up	0	0	2.4	120	160	0	1	1.12625
2	 softmu	 down	0	0	2.4	120	160	0	1	0.80892
2	 softmu	 up_away	0	0	2.4	120	160	0	1	1.15993
2	 softmu	 down_away	0	0	2.4	120	160	0	1	0.775235
2	 softmu	 up_mupt	0	0	2.4	120	160	0	1	0.841903
2	 softmu	 down_mupt	0	0	2.4	120	160	0	1	1.09326
2	 softmu	 up_ptrel	0	0	2.4	120	160	0	1	1.06079
2	 softmu	 down_ptrel	0	0	2.4	120	160	0	1	0.874376
2	 softmu	 up_gluon	0	0	2.4	120	160	0	1	0.967583
2	 softmu	 down_gluon	0	0	2.4	120	160	0	1	0.967583
2	 softmu	 up_pu	0	0	2.4	120	160	0	1	0.962738
2	 softmu	 down_pu	0	0	2.4	120	160	0	1	0.972428
2	 softmu	 up_bef	0	0	2.4	120	160	0	1	1.02296
2	 softmu	 down_bef	0	0	2.4	120	160	0	1	0.912206
2	 softmu	 up_mudr	0	0	2.4	120	160	0	1	1.00188
2	 softmu	 down_mudr	0	0	2.4	120	160	0	1	0.933286
