DeepCSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptmax,discrMin,discrMax,formula
0,lt,central,0,0,2.4,20.0,30.0,0,1,0.958999693394
0,lt,up,0,0,2.4,20.0,30.0,0,1,1.03876041558
0,lt,down,0,0,2.4,20.0,30.0,0,1,0.879202040844
0,lt,up_jes,0,0,2.4,20.0,30.0,0,1,0.982720692643
0,lt,down_jes,0,0,2.4,20.0,30.0,0,1,0.950349628925
0,lt,up_gluonsplitting,0,0,2.4,20.0,30.0,0,1,0.96015816927
0,lt,down_gluonsplitting,0,0,2.4,20.0,30.0,0,1,0.957576036453
0,lt,up_bfragmentation,0,0,2.4,20.0,30.0,0,1,0.983926653862
0,lt,down_bfragmentation,0,0,2.4,20.0,30.0,0,1,0.925631821156
0,lt,up_cfragmentation,0,0,2.4,20.0,30.0,0,1,0.958999693394
0,lt,down_cfragmentation,0,0,2.4,20.0,30.0,0,1,0.958999693394
0,lt,up_dmux,0,0,2.4,20.0,30.0,0,1,0.958999693394
0,lt,down_dmux,0,0,2.4,20.0,30.0,0,1,0.957994103432
0,lt,up_ksl,0,0,2.4,20.0,30.0,0,1,0.959052085876
0,lt,down_ksl,0,0,2.4,20.0,30.0,0,1,0.958999693394
0,lt,up_cb,0,0,2.4,20.0,30.0,0,1,0.989855301537
0,lt,down_cb,0,0,2.4,20.0,30.0,0,1,0.92814408525
0,lt,up_ltothers,0,0,2.4,20.0,30.0,0,1,1.02285742745
0,lt,down_ltothers,0,0,2.4,20.0,30.0,0,1,0.895141959339
0,lt,up_statistic,0,0,2.4,20.0,30.0,0,1,0.968278878872
0,lt,down_statistic,0,0,2.4,20.0,30.0,0,1,0.949720507915
0,lt,central,0,0,2.4,30.0,50.0,0,1,0.968305289745
0,lt,up,0,0,2.4,30.0,50.0,0,1,1.02243317629
0,lt,down,0,0,2.4,30.0,50.0,0,1,0.913305108221
0,lt,up_jes,0,0,2.4,30.0,50.0,0,1,0.978800088472
0,lt,down_jes,0,0,2.4,30.0,50.0,0,1,0.955880906269
0,lt,up_gluonsplitting,0,0,2.4,30.0,50.0,0,1,0.97079628706
0,lt,down_gluonsplitting,0,0,2.4,30.0,50.0,0,1,0.96530610323
0,lt,up_bfragmentation,0,0,2.4,30.0,50.0,0,1,0.977789640427
0,lt,down_bfragmentation,0,0,2.4,30.0,50.0,0,1,0.956455469131
0,lt,up_cfragmentation,0,0,2.4,30.0,50.0,0,1,0.968305289745
0,lt,down_cfragmentation,0,0,2.4,30.0,50.0,0,1,0.968305289745
0,lt,up_dmux,0,0,2.4,30.0,50.0,0,1,0.968305289745
0,lt,down_dmux,0,0,2.4,30.0,50.0,0,1,0.969818592072
0,lt,up_ksl,0,0,2.4,30.0,50.0,0,1,0.968259990215
0,lt,down_ksl,0,0,2.4,30.0,50.0,0,1,0.968305289745
0,lt,up_cb,0,0,2.4,30.0,50.0,0,1,0.978929375322
0,lt,down_cb,0,0,2.4,30.0,50.0,0,1,0.957681204169
0,lt,up_ltothers,0,0,2.4,30.0,50.0,0,1,1.02292278805
0,lt,down_ltothers,0,0,2.4,30.0,50.0,0,1,0.913687791436
0,lt,up_statistic,0,0,2.4,30.0,50.0,0,1,0.971948233636
0,lt,down_statistic,0,0,2.4,30.0,50.0,0,1,0.964662345854
0,lt,central,0,0,2.4,50.0,70.0,0,1,0.996407568455
0,lt,up,0,0,2.4,50.0,70.0,0,1,1.01772356936
0,lt,down,0,0,2.4,50.0,70.0,0,1,0.946972106878
0,lt,up_jes,0,0,2.4,50.0,70.0,0,1,0.999243378639
0,lt,down_jes,0,0,2.4,50.0,70.0,0,1,0.951434664862
0,lt,up_gluonsplitting,0,0,2.4,50.0,70.0,0,1,1.00340294838
0,lt,down_gluonsplitting,0,0,2.4,50.0,70.0,0,1,0.988108813763
0,lt,up_bfragmentation,0,0,2.4,50.0,70.0,0,1,1.01054656506
0,lt,down_bfragmentation,0,0,2.4,50.0,70.0,0,1,0.983959376812
0,lt,up_cfragmentation,0,0,2.4,50.0,70.0,0,1,0.996407747269
0,lt,down_cfragmentation,0,0,2.4,50.0,70.0,0,1,0.996407747269
0,lt,up_dmux,0,0,2.4,50.0,70.0,0,1,0.996407747269
0,lt,down_dmux,0,0,2.4,50.0,70.0,0,1,0.996566593647
0,lt,up_ksl,0,0,2.4,50.0,70.0,0,1,0.996274232864
0,lt,down_ksl,0,0,2.4,50.0,70.0,0,1,0.996407747269
0,lt,up_cb,0,0,2.4,50.0,70.0,0,1,1.0004353979
0,lt,down_cb,0,0,2.4,50.0,70.0,0,1,0.992379739006
0,lt,up_ltothers,0,0,2.4,50.0,70.0,0,1,1.01224200631
0,lt,down_ltothers,0,0,2.4,50.0,70.0,0,1,0.980573130599
0,lt,up_statistic,0,0,2.4,50.0,70.0,0,1,1.00489429177
0,lt,down_statistic,0,0,2.4,50.0,70.0,0,1,0.987920845144
0,lt,central,0,0,2.4,70.0,100.0,0,1,1.00028312206
0,lt,up,0,0,2.4,70.0,100.0,0,1,1.01886079129
0,lt,down,0,0,2.4,70.0,100.0,0,1,0.981189512218
0,lt,up_jes,0,0,2.4,70.0,100.0,0,1,1.00372171402
0,lt,down_jes,0,0,2.4,70.0,100.0,0,1,0.998235058551
0,lt,up_gluonsplitting,0,0,2.4,70.0,100.0,0,1,1.0092215538
0,lt,down_gluonsplitting,0,0,2.4,70.0,100.0,0,1,0.989088714123
0,lt,up_bfragmentation,0,0,2.4,70.0,100.0,0,1,1.00989437103
0,lt,down_bfragmentation,0,0,2.4,70.0,100.0,0,1,0.991697788239
0,lt,up_cfragmentation,0,0,2.4,70.0,100.0,0,1,1.00028312206
0,lt,down_cfragmentation,0,0,2.4,70.0,100.0,0,1,1.00028312206
0,lt,up_dmux,0,0,2.4,70.0,100.0,0,1,1.00028312206
0,lt,down_dmux,0,0,2.4,70.0,100.0,0,1,0.999727427959
0,lt,up_ksl,0,0,2.4,70.0,100.0,0,1,1.00020802021
0,lt,down_ksl,0,0,2.4,70.0,100.0,0,1,1.00028312206
0,lt,up_cb,0,0,2.4,70.0,100.0,0,1,1.00311280963
0,lt,down_cb,0,0,2.4,70.0,100.0,0,1,0.997453434491
0,lt,up_ltothers,0,0,2.4,70.0,100.0,0,1,1.01053693901
0,lt,down_ltothers,0,0,2.4,70.0,100.0,0,1,0.990029305117
0,lt,up_statistic,0,0,2.4,70.0,100.0,0,1,1.0071590342
0,lt,down_statistic,0,0,2.4,70.0,100.0,0,1,0.993407209924
0,lt,central,0,0,2.4,100.0,140.0,0,1,1.00958478451
0,lt,up,0,0,2.4,100.0,140.0,0,1,1.02857274669
0,lt,down,0,0,2.4,100.0,140.0,0,1,0.988289434296
0,lt,up_jes,0,0,2.4,100.0,140.0,0,1,1.01041328907
0,lt,down_jes,0,0,2.4,100.0,140.0,0,1,1.00622161044
0,lt,up_gluonsplitting,0,0,2.4,100.0,140.0,0,1,1.02261257172
0,lt,down_gluonsplitting,0,0,2.4,100.0,140.0,0,1,0.992843747139
0,lt,up_bfragmentation,0,0,2.4,100.0,140.0,0,1,1.01700019836
0,lt,down_bfragmentation,0,0,2.4,100.0,140.0,0,1,1.0048353672
0,lt,up_cfragmentation,0,0,2.4,100.0,140.0,0,1,1.00958478451
0,lt,down_cfragmentation,0,0,2.4,100.0,140.0,0,1,1.00958478451
0,lt,up_dmux,0,0,2.4,100.0,140.0,0,1,1.00958478451
0,lt,down_dmux,0,0,2.4,100.0,140.0,0,1,1.00753772259
0,lt,up_ksl,0,0,2.4,100.0,140.0,0,1,1.00942182541
0,lt,down_ksl,0,0,2.4,100.0,140.0,0,1,1.00958478451
0,lt,up_cb,0,0,2.4,100.0,140.0,0,1,1.01182630928
0,lt,down_cb,0,0,2.4,100.0,140.0,0,1,1.00734325974
0,lt,up_ltothers,0,0,2.4,100.0,140.0,0,1,1.01901179864
0,lt,down_ltothers,0,0,2.4,100.0,140.0,0,1,1.00015777037
0,lt,up_statistic,0,0,2.4,100.0,140.0,0,1,1.01556221881
0,lt,down_statistic,0,0,2.4,100.0,140.0,0,1,1.0036073502
0,lt,central,0,0,2.4,140.0,200.0,0,1,1.01662778854
0,lt,up,0,0,2.4,140.0,200.0,0,1,1.03970398944
0,lt,down,0,0,2.4,140.0,200.0,0,1,0.989318932675
0,lt,up_jes,0,0,2.4,140.0,200.0,0,1,1.01740109935
0,lt,down_jes,0,0,2.4,140.0,200.0,0,1,1.01333699315
0,lt,up_gluonsplitting,0,0,2.4,140.0,200.0,0,1,1.03300273418
0,lt,down_gluonsplitting,0,0,2.4,140.0,200.0,0,1,0.994785070419
0,lt,up_bfragmentation,0,0,2.4,140.0,200.0,0,1,1.02147483826
0,lt,down_bfragmentation,0,0,2.4,140.0,200.0,0,1,1.013869524
0,lt,up_cfragmentation,0,0,2.4,140.0,200.0,0,1,1.01662790775
0,lt,down_cfragmentation,0,0,2.4,140.0,200.0,0,1,1.01662790775
0,lt,up_dmux,0,0,2.4,140.0,200.0,0,1,1.01662790775
0,lt,down_dmux,0,0,2.4,140.0,200.0,0,1,1.01347696781
0,lt,up_ksl,0,0,2.4,140.0,200.0,0,1,1.01647305489
0,lt,down_ksl,0,0,2.4,140.0,200.0,0,1,1.01662790775
0,lt,up_cb,0,0,2.4,140.0,200.0,0,1,1.01825450645
0,lt,down_cb,0,0,2.4,140.0,200.0,0,1,1.01500107064
0,lt,up_ltothers,0,0,2.4,140.0,200.0,0,1,1.02738008618
0,lt,down_ltothers,0,0,2.4,140.0,200.0,0,1,1.00587549091
0,lt,up_statistic,0,0,2.4,140.0,200.0,0,1,1.02366957801
0,lt,down_statistic,0,0,2.4,140.0,200.0,0,1,1.00958599908
0,lt,central,0,0,2.4,200.0,300.0,0,1,1.03660798073
0,lt,up,0,0,2.4,200.0,300.0,0,1,1.06806097509
0,lt,down,0,0,2.4,200.0,300.0,0,1,0.998938989431
0,lt,up_jes,0,0,2.4,200.0,300.0,0,1,1.03787671745
0,lt,down_jes,0,0,2.4,200.0,300.0,0,1,1.03365986952
0,lt,up_gluonsplitting,0,0,2.4,200.0,300.0,0,1,1.05842709541
0,lt,down_gluonsplitting,0,0,2.4,200.0,300.0,0,1,1.0067088604
0,lt,up_bfragmentation,0,0,2.4,200.0,300.0,0,1,1.03287899494
0,lt,down_bfragmentation,0,0,2.4,200.0,300.0,0,1,1.04108083248
0,lt,up_cfragmentation,0,0,2.4,200.0,300.0,0,1,1.03660833836
0,lt,down_cfragmentation,0,0,2.4,200.0,300.0,0,1,1.03660833836
0,lt,up_dmux,0,0,2.4,200.0,300.0,0,1,1.03660833836
0,lt,down_dmux,0,0,2.4,200.0,300.0,0,1,1.03332769871
0,lt,up_ksl,0,0,2.4,200.0,300.0,0,1,1.03641414642
0,lt,down_ksl,0,0,2.4,200.0,300.0,0,1,1.03660833836
0,lt,up_cb,0,0,2.4,200.0,300.0,0,1,1.03740283706
0,lt,down_cb,0,0,2.4,200.0,300.0,0,1,1.0358131244
0,lt,up_ltothers,0,0,2.4,200.0,300.0,0,1,1.05540836775
0,lt,down_ltothers,0,0,2.4,200.0,300.0,0,1,1.0178075937
0,lt,up_statistic,0,0,2.4,200.0,300.0,0,1,1.04308295615
0,lt,down_statistic,0,0,2.4,200.0,300.0,0,1,1.03013300531
0,lt,central,0,0,2.4,300.0,670.0,0,1,1.0502666235
0,lt,up,0,0,2.4,300.0,670.0,0,1,1.08931283059
0,lt,down,0,0,2.4,300.0,670.0,0,1,1.0008104564
0,lt,up_jes,0,0,2.4,300.0,670.0,0,1,1.05086097086
0,lt,down_jes,0,0,2.4,300.0,670.0,0,1,1.04777024197
0,lt,up_gluonsplitting,0,0,2.4,300.0,670.0,0,1,1.07758831978
0,lt,down_gluonsplitting,0,0,2.4,300.0,670.0,0,1,1.01123249531
0,lt,up_bfragmentation,0,0,2.4,300.0,670.0,0,1,1.03070211411
0,lt,down_bfragmentation,0,0,2.4,300.0,670.0,0,1,1.0662728548
0,lt,up_cfragmentation,0,0,2.4,300.0,670.0,0,1,1.05026674271
0,lt,down_cfragmentation,0,0,2.4,300.0,670.0,0,1,1.05026674271
0,lt,up_dmux,0,0,2.4,300.0,670.0,0,1,1.05026674271
0,lt,down_dmux,0,0,2.4,300.0,670.0,0,1,1.04685747623
0,lt,up_ksl,0,0,2.4,300.0,670.0,0,1,1.05005085468
0,lt,down_ksl,0,0,2.4,300.0,670.0,0,1,1.05026674271
0,lt,up_cb,0,0,2.4,300.0,670.0,0,1,1.0506164762
0,lt,down_cb,0,0,2.4,300.0,670.0,0,1,1.0499167708
0,lt,up_ltothers,0,0,2.4,300.0,670.0,0,1,1.06836410602
0,lt,down_ltothers,0,0,2.4,300.0,670.0,0,1,1.03216914097
0,lt,up_statistic,0,0,2.4,300.0,670.0,0,1,1.06003313782
0,lt,down_statistic,0,0,2.4,300.0,670.0,0,1,1.04050010918
0,lt,central,0,0,2.4,670.0,1000.0,0,1,1.05109095573
0,lt,up,0,0,2.4,670.0,1000.0,0,1,1.09733360956
0,lt,down,0,0,2.4,670.0,1000.0,0,1,0.994415526552
0,lt,up_jes,0,0,2.4,670.0,1000.0,0,1,1.05109095573
0,lt,down_jes,0,0,2.4,670.0,1000.0,0,1,1.0429229312
0,lt,up_gluonsplitting,0,0,2.4,670.0,1000.0,0,1,1.07671618462
0,lt,down_gluonsplitting,0,0,2.4,670.0,1000.0,0,1,1.01186788082
0,lt,up_bfragmentation,0,0,2.4,670.0,1000.0,0,1,1.01905810833
0,lt,down_bfragmentation,0,0,2.4,670.0,1000.0,0,1,1.0816488266
0,lt,up_cfragmentation,0,0,2.4,670.0,1000.0,0,1,1.05109143257
0,lt,down_cfragmentation,0,0,2.4,670.0,1000.0,0,1,1.05109143257
0,lt,up_dmux,0,0,2.4,670.0,1000.0,0,1,1.05109143257
0,lt,down_dmux,0,0,2.4,670.0,1000.0,0,1,1.04535663128
0,lt,up_ksl,0,0,2.4,670.0,1000.0,0,1,1.051019907
0,lt,down_ksl,0,0,2.4,670.0,1000.0,0,1,1.05109143257
0,lt,up_cb,0,0,2.4,670.0,1000.0,0,1,1.05112422217
0,lt,down_cb,0,0,2.4,670.0,1000.0,0,1,1.0510576893
0,lt,up_ltothers,0,0,2.4,670.0,1000.0,0,1,1.07198715314
0,lt,down_ltothers,0,0,2.4,670.0,1000.0,0,1,1.03019475833
0,lt,up_statistic,0,0,2.4,670.0,1000.0,0,1,1.06865456824
0,lt,down_statistic,0,0,2.4,670.0,1000.0,0,1,1.03352734323
1,lt,central,0,0,2.4,20.0,30.0,0,1,1.03342843056
1,lt,up,0,0,2.4,20.0,30.0,0,1,1.11732395672
1,lt,down,0,0,2.4,20.0,30.0,0,1,0.949492372749
1,lt,up_jes,0,0,2.4,20.0,30.0,0,1,1.05899072093
1,lt,down_jes,0,0,2.4,20.0,30.0,0,1,1.02410721779
1,lt,up_gluonsplitting,0,0,2.4,20.0,30.0,0,1,1.03467690945
1,lt,down_gluonsplitting,0,0,2.4,20.0,30.0,0,1,1.03189444542
1,lt,up_bfragmentation,0,0,2.4,20.0,30.0,0,1,1.0602902174
1,lt,down_bfragmentation,0,0,2.4,20.0,30.0,0,1,0.997470974922
1,lt,up_cfragmentation,0,0,2.4,20.0,30.0,0,1,1.03342843056
1,lt,down_cfragmentation,0,0,2.4,20.0,30.0,0,1,1.03342843056
1,lt,up_dmux,0,0,2.4,20.0,30.0,0,1,1.03342843056
1,lt,down_dmux,0,0,2.4,20.0,30.0,0,1,1.03234493732
1,lt,up_ksl,0,0,2.4,20.0,30.0,0,1,1.03348517418
1,lt,down_ksl,0,0,2.4,20.0,30.0,0,1,1.03342843056
1,lt,up_cb,0,0,2.4,20.0,30.0,0,1,1.07607203582
1,lt,down_cb,0,0,2.4,20.0,30.0,0,1,0.99078482529
1,lt,up_ltothers,0,0,2.4,20.0,30.0,0,1,1.08253587544
1,lt,down_ltothers,0,0,2.4,20.0,30.0,0,1,0.984320985679
1,lt,up_statistic,0,0,2.4,20.0,30.0,0,1,1.04363495453
1,lt,down_statistic,0,0,2.4,20.0,30.0,0,1,1.02322190659
1,lt,central,0,0,2.4,30.0,50.0,0,1,1.00881171227
1,lt,up,0,0,2.4,30.0,50.0,0,1,1.04274393536
1,lt,down,0,0,2.4,30.0,50.0,0,1,0.973389686929
1,lt,up_jes,0,0,2.4,30.0,50.0,0,1,1.01974556635
1,lt,down_jes,0,0,2.4,30.0,50.0,0,1,0.99586750777
1,lt,up_gluonsplitting,0,0,2.4,30.0,50.0,0,1,1.01140701771
1,lt,down_gluonsplitting,0,0,2.4,30.0,50.0,0,1,1.00568699837
1,lt,up_bfragmentation,0,0,2.4,30.0,50.0,0,1,1.01869273186
1,lt,down_bfragmentation,0,0,2.4,30.0,50.0,0,1,0.996466219425
1,lt,up_cfragmentation,0,0,2.4,30.0,50.0,0,1,1.00881171227
1,lt,down_cfragmentation,0,0,2.4,30.0,50.0,0,1,1.00881171227
1,lt,up_dmux,0,0,2.4,30.0,50.0,0,1,1.00881171227
1,lt,down_dmux,0,0,2.4,30.0,50.0,0,1,1.01038849354
1,lt,up_ksl,0,0,2.4,30.0,50.0,0,1,1.0087646246
1,lt,down_ksl,0,0,2.4,30.0,50.0,0,1,1.00881171227
1,lt,up_cb,0,0,2.4,30.0,50.0,0,1,1.02301804242
1,lt,down_cb,0,0,2.4,30.0,50.0,0,1,0.994605382107
1,lt,up_ltothers,0,0,2.4,30.0,50.0,0,1,1.01574030961
1,lt,down_ltothers,0,0,2.4,30.0,50.0,0,1,1.00188311492
1,lt,up_statistic,0,0,2.4,30.0,50.0,0,1,1.0125864282
1,lt,down_statistic,0,0,2.4,30.0,50.0,0,1,1.00503699633
1,lt,central,0,0,2.4,50.0,70.0,0,1,1.01447427273
1,lt,up,0,0,2.4,50.0,70.0,0,1,1.05791970566
1,lt,down,0,0,2.4,50.0,70.0,0,1,0.95162688273
1,lt,up_jes,0,0,2.4,50.0,70.0,0,1,1.01736152172
1,lt,down_jes,0,0,2.4,50.0,70.0,0,1,0.968685951068
1,lt,up_gluonsplitting,0,0,2.4,50.0,70.0,0,1,1.02159655094
1,lt,down_gluonsplitting,0,0,2.4,50.0,70.0,0,1,1.00602507591
1,lt,up_bfragmentation,0,0,2.4,50.0,70.0,0,1,1.02886962891
1,lt,down_bfragmentation,0,0,2.4,50.0,70.0,0,1,1.0018004179
1,lt,up_cfragmentation,0,0,2.4,50.0,70.0,0,1,1.01447451115
1,lt,down_cfragmentation,0,0,2.4,50.0,70.0,0,1,1.01447451115
1,lt,up_dmux,0,0,2.4,50.0,70.0,0,1,1.01447451115
1,lt,down_dmux,0,0,2.4,50.0,70.0,0,1,1.01463615894
1,lt,up_ksl,0,0,2.4,50.0,70.0,0,1,1.01433861256
1,lt,down_ksl,0,0,2.4,50.0,70.0,0,1,1.01447451115
1,lt,up_cb,0,0,2.4,50.0,70.0,0,1,1.02004053449
1,lt,down_cb,0,0,2.4,50.0,70.0,0,1,1.00890801097
1,lt,up_ltothers,0,0,2.4,50.0,70.0,0,1,1.05333302575
1,lt,down_ltothers,0,0,2.4,50.0,70.0,0,1,0.97561551971
1,lt,up_statistic,0,0,2.4,50.0,70.0,0,1,1.02285834327
1,lt,down_statistic,0,0,2.4,50.0,70.0,0,1,1.00609020219
1,lt,central,0,0,2.4,70.0,100.0,0,1,0.996524631977
1,lt,up,0,0,2.4,70.0,100.0,0,1,1.02168987091
1,lt,down,0,0,2.4,70.0,100.0,0,1,0.970979298321
1,lt,up_jes,0,0,2.4,70.0,100.0,0,1,0.999950349331
1,lt,down_jes,0,0,2.4,70.0,100.0,0,1,0.994484500484
1,lt,up_gluonsplitting,0,0,2.4,70.0,100.0,0,1,1.00542974472
1,lt,down_gluonsplitting,0,0,2.4,70.0,100.0,0,1,0.985372424126
1,lt,up_bfragmentation,0,0,2.4,70.0,100.0,0,1,1.00609993935
1,lt,down_bfragmentation,0,0,2.4,70.0,100.0,0,1,0.98797172308
1,lt,up_cfragmentation,0,0,2.4,70.0,100.0,0,1,0.996524751186
1,lt,down_cfragmentation,0,0,2.4,70.0,100.0,0,1,0.996524751186
1,lt,up_dmux,0,0,2.4,70.0,100.0,0,1,0.996524751186
1,lt,down_dmux,0,0,2.4,70.0,100.0,0,1,0.995971262455
1,lt,up_ksl,0,0,2.4,70.0,100.0,0,1,0.996450066566
1,lt,down_ksl,0,0,2.4,70.0,100.0,0,1,0.996524751186
1,lt,up_cb,0,0,2.4,70.0,100.0,0,1,1.00073459797
1,lt,down_cb,0,0,2.4,70.0,100.0,0,1,0.99231466598
1,lt,up_ltothers,0,0,2.4,70.0,100.0,0,1,1.01556884066
1,lt,down_ltothers,0,0,2.4,70.0,100.0,0,1,0.977480423292
1,lt,up_statistic,0,0,2.4,70.0,100.0,0,1,1.00336394813
1,lt,down_statistic,0,0,2.4,70.0,100.0,0,1,0.989685315822
1,lt,central,0,0,2.4,100.0,140.0,0,1,1.01219141483
1,lt,up,0,0,2.4,100.0,140.0,0,1,1.03587344318
1,lt,down,0,0,2.4,100.0,140.0,0,1,0.986613533412
1,lt,up_jes,0,0,2.4,100.0,140.0,0,1,1.013022542
1,lt,down_jes,0,0,2.4,100.0,140.0,0,1,1.0088203013
1,lt,up_gluonsplitting,0,0,2.4,100.0,140.0,0,1,1.02525317669
1,lt,down_gluonsplitting,0,0,2.4,100.0,140.0,0,1,0.995407640934
1,lt,up_bfragmentation,0,0,2.4,100.0,140.0,0,1,1.0196262598
1,lt,down_bfragmentation,0,0,2.4,100.0,140.0,0,1,1.0074300766
1,lt,up_cfragmentation,0,0,2.4,100.0,140.0,0,1,1.01219189167
1,lt,down_cfragmentation,0,0,2.4,100.0,140.0,0,1,1.01219189167
